001244-1	ИВЛ (сухой)	ООО "Пицца Стар"	4813404000332	Сироп CLASSIC со вкусом карамели, 1 л ШТУКА
05202	Суперпак	ООО "Пицца Стар"	4813853008873	Упаковка бумажная 300*300 с печатью 40г, БУБ (в листах) 1000 шт./кор
001542	ИВЛ (холод)	ООО "Пицца Стар"	4660217640541	Соус майонезный "БУРГЕР" ТЗ "Додо", 4шт * 1кг
001276	ИВЛ (мороз)	ООО "Пицца Стар"	4813853007616	Омлет быстрозамороженный 72 шт
000212	Тибетрэй	ООО "Пицца Стар"	4607163090846	Сок "Сады Придонья" Яблочно-виноградный осветленный востановленный для детского питания 0,2 л.
002074	ИВЛ (холод)	ООО "Пицца Стар"	4606384003987	Соус майонезный «Сливочный хрен» 24шт*0,25кг
75980059	Хайнц	ООО "Пицца Стар"	4601674031282	Соус деликатесный кисло-сладкий оригинальный Хайнц 25 мл 125 шт. в уп./1 кор
lok018	Крышар	ООО "Пицца Стар"	4813853008903	Размешиватель деревянный в индивидуальной бумажной упаковке 180 мм, 5000шт/кор
111751	Лидское пиво	ООО "Пицца Стар"	4810285016964	Концентрат для приготовления безалкогольных напитков в аппаратах системы "Постмикс" непаст. «ПЕПСИ» БИБ 20л.
002147	ИВЛ (мороз)	ООО "Пицца Стар"	4620366703009	Сырники. Кулинарные изделия из молокосодержащего продукта с заменителем молочного жира, произведенного по технологии творога, замороженные, 5 уп*1400 г
79000316	Хайнц	ООО "Пицца Стар"	4601674031404	Соус на основе растительных масел Чесночный оригинальный Хайнц ДИП, 25 мл х 125шт/1кор
lok008	Молочный мир	ООО "Пицца Стар"	4810099010103	Молоко питьевое стерилизованное м.д.ж. 3,2%, 1л ШТУКА
001656	ИВЛ (холод)	ООО "Пицца Стар"	4606384002386	Соус на основе растительных масел со вкусом пломбира 0,5 кг ШТУКА
001607	ИВЛ (сухой)	ООО "Пицца Стар"	4813853008408	Чай черный рассыпной листовой крупный с добавками, «Душистая липа с мелиссой», 4 упаковки по 60г
SERV001	Серволюкс	ООО "Пицца Стар"	4811125009610	Изделия кулинарные рубленные панированные запеченные из мяса цыплят-бройлеров. "Хрустящие наггетсы" замороженные 12 кг.
DPE22	Интропластика	ООО "Пицца Стар"	14680695411645	Стакан одноразового использования из ламинированной бумаги для холодных напитков 0.5л, 1000 шт.
001160-1	ИВЛ (сухой)	ООО "Пицца Стар"	4631160613715	Упаковка бумажная для пищевой продукции: упаковка из бумаги(370*370 мм) 1000 шт УПАК
001446	ИВЛ (мороз)	ООО "Пицца Стар"	4620058452796	Чизкейк банановый ТЗ Додо мучное кондитерское изделие 4 шт х 1,66 кг ШТУКА
001195	ИВЛ (сухой)	ООО "Пицца Стар"	14640016648228	Чай зеленый рассыпной листовой крупный с добавками, "Таежный чай" пакетированный 6 уп*30г
002056	ИВЛ (холод)	ООО "Пицца Стар"	14660217641590	Соус на основе растительных масел "Фирменный ДОДО" ТЗ "ДОДО", 9 шт*0,5 кг
001506	ИВЛ (сухой)	ООО "Пицца Стар"	14620012341514	Сухарики-гренки пшеничные со вкусом чеснока 13 мм (200 шт х 10 г)
001708	ИВЛ (сухой)	ООО "Пицца Стар"	4620020805391	Стакан 375мл матовый, цвет прозрачны, упаковка полимерная для пищевой продукции, 300 шт/кор
07145	Суперпак	ООО "Пицца Стар"	4813853008934	Пакет бумажный уголок 140*140 б/п 40г, ЖБ, 2000 шт./кор
002172	ИВЛ (холод)	ООО "Пицца Стар"	4650118147249	Соус на основе растительных масел "АЛЬФРЕДО" ТЗ "ДОДО" 4 шт * 1 кг
272623341	Мостра Крафт	ООО "Пицца Стар"	7622210309310	Печенье «OREO» с какао и начинкой с ванильным вкусом 228г УПАКОВКА
1001	Слуцкий сахарный	ООО "Пицца Стар"	4810613001105	САХАР БЕЛЫЙ кристаллический свекловичный категория ТС2 ГОСТ 33222-2015, 4 г
DPE12	Интропластика	ООО "Пицца Стар"	14680695411683	Стакан одноразового использования из ламинированной бумаги для холодных напитков 300мл, 1800 шт.
001226	ИВЛ (сухой)	ООО "Пицца Стар"	4631163758581	Упаковка бумажная для пищевой продукци: бумага жаронепроницаемая, жаропрочная 267*267мм, 2000 шт.
001070	ИВЛ (сухой)	ООО "Пицца Стар"	4813853006503	Чай зеленый рассыпной листовой крупный фасованный, «Зеленый сенча» пакетированный, 4 уп по 60 гр
000174	ПиР ПАК	ООО "Пицца Стар"	4630024911561	Сыр фасованный "Смесь тертых сыров" (сыр Чеддер красный с м.д.ж. 50% и сыр Пармезан с м.д.ж. 32%), 10шт*500г ШТУКА
001596	ИВЛ (холод)	ООО "Пицца Стар"	4601674010539	Соус на основе растительных масел Горчичный оригинальный Хайнц, 6 ШТ х 1 КГ
001243-1	ИВЛ (сухой)	ООО "Пицца Стар"	4813404000349	Сироп CLASSIC со вкусом фундука, 1 л ШТУКА
001466	ИВЛ (сухой)	ООО "Пицца Стар"	4631012006757	Стакан из бумаги, картона и комбинированных материалов для холодных и горячих пищевых продуктов "Додо_OFFICE_СНГ" 400 мл / 18_2 (двухслойный) 500 шт
lok001	Слуцкий сахарный	ООО "Пицца Стар"	4810272002888	Сахар белый кристаллический, расфасованный в потребительскую упаковку, 1 кг
35791	Альфа-дистрибьюция	ООО "Пицца Стар"	8718144570649	Лук жареный, нарезанный, TOP Taste B.V., 1 кг
001743	ИВЛ (мороз)	ООО "Пицца Стар"	4813853009061	Макароны отварные, блюдо из макаронных изделий, изделие кулинарное замороженное 18уп*120г.
lok022	Малорита	ООО "Пицца Стар"	4810797038867	Кетчуп томатный стерилизованный (основа томатная для пиццы), 10 кг
76020815	Хайнц	ООО "Пицца Стар"	4601674034726	Соус на основе растительных масел Цезарь для салата Хайнц, дип-пот 25 мл*125 шт
000053	ИВЛ (мороз)	ООО "Пицца Стар"	4813853005421	Фондант шоколадный, 1,92кг/24шт
lok031	Крышар	ООО "Пицца Стар"	4812491006623	Набор одноразовый: Ложечка ЭКО (125мм), КРАФТ в индивид. упаковке, КРЫШАР, 500 шт.
001856	ИВЛ (сухой)	ООО "Пицца Стар"	4620003195921	Упаковка потребительская из картона, бумаги и комбинированных материалов для пищевой продукции: треугольные коробки для чизкейка Д-3.1 ТЗ Додо 200 шт.
lok029	АмикПласт	ООО "Пицца Стар"	4813853009122	Пакеты из полимерных материалов. Пакет тип "майка" ДОДО ПИЦЦА, 270/65х430 мм, 15 мкм, 500 шт.
000861	ИВЛ (сухой)	ООО "Пицца Стар"	4813853005384	Крышка для салатников D=150 мм 500шт/кор
001752	ИВЛ (мороз)	ООО "Пицца Стар"	14605874008836	Изделие хлебобулочное замороженное "Пита пшеничная", 0,3кг*6шт*24упак
49029	Велпак	ООО "Пицца Стар"	4813676002393	Ящик из гофрированного картона (360х360х40) "35" с ф/п, КТ-24Е бур, 50 шт
002022	ИВЛ (мороз)	ООО "Пицца Стар"	4607165648144	Пирог "Зеленое Яблоко-Крамбл" Изделие хлебобулочное замороженное, 90 г*18 шт.
26-1888	ПиР ПАК	ООО "Пицца Стар"	4813853009191	Сыр фасованный для пиццы Моцарелла. Кубики. М.д.ж. 40% ТМ "PiR Professional", 10шт*1000г
lok034	ННД	ООО "Пицца Стар"	14607194355010	Ананасы кусочками в сиропе консервированные LUTIK, 580мл*12шт
001279	ИВЛ (мороз)	ООО "Пицца Стар"	4813853009078	Сыр полутвердый "Моцарелла" замороженный, нарезанный в форме кубика с м.д.ж. 38% ТЗ "Додо" 10 шт * 1 кг
001410	ИВЛ (сухой)	ООО "Пицца Стар"	4660217640404	Соус "Терияки" ТЗ "ДОДО" 0,25 кг*15 шт
